"GEOID","County","Male_Population","Female_Population"
"01001","Autauga County, Alabama",28663,30098
"01003","Baldwin County, Alabama",114077,119343
"01005","Barbour County, Alabama",12973,11904
"01007","Bibb County, Alabama",11897,10354
"01009","Blount County, Alabama",29864,29213
"01011","Bullock County, Alabama",5542,4786
"01013","Butler County, Alabama",8928,10053
"01015","Calhoun County, Alabama",56185,59977
"01017","Chambers County, Alabama",16485,18127
"01019","Cherokee County, Alabama",12261,12808
"01021","Chilton County, Alabama",22048,23092
"01023","Choctaw County, Alabama",5980,6689
"01025","Clarke County, Alabama",11032,12026
"01027","Clay County, Alabama",6931,7278
"01029","Cleburne County, Alabama",7565,7579
"01031","Coffee County, Alabama",26626,26933
"01033","Colbert County, Alabama",27911,29359
"01035","Conecuh County, Alabama",5639,5937
"01037","Coosa County, Alabama",5306,5023
"01039","Covington County, Alabama",18243,19299
"01041","Crenshaw County, Alabama",6451,6754
"01043","Cullman County, Alabama",43820,44464
"01045","Dale County, Alabama",24461,24994
"01047","Dallas County, Alabama",17895,20431
"01049","DeKalb County, Alabama",35847,35833
"01051","Elmore County, Alabama",42743,44951
"01053","Escambia County, Alabama",18476,18279
"01055","Etowah County, Alabama",50134,53214
"01057","Fayette County, Alabama",7997,8300
"01059","Franklin County, Alabama",16071,15940
"01061","Geneva County, Alabama",13037,13610
"01063","Greene County, Alabama",3707,3999
"01065","Hale County, Alabama",7020,7722
"01067","Henry County, Alabama",8303,8979
"01069","Houston County, Alabama",51565,55475
"01071","Jackson County, Alabama",25883,26735
"01073","Jefferson County, Alabama",319713,352552
"01075","Lamar County, Alabama",6930,6955
"01077","Lauderdale County, Alabama",45493,48836
"01079","Lawrence County, Alabama",16299,16817
"01081","Lee County, Alabama",86692,88434
"01083","Limestone County, Alabama",52385,51814
"01085","Lowndes County, Alabama",4842,5311
"01087","Macon County, Alabama",8865,10333
"01089","Madison County, Alabama",191913,197868
"01091","Marengo County, Alabama",9100,10080
"01093","Marion County, Alabama",14510,14693
"01095","Marshall County, Alabama",48686,49237
"01097","Mobile County, Alabama",198642,215236
"01099","Monroe County, Alabama",9758,10058
"01101","Montgomery County, Alabama",107680,120452
"01103","Morgan County, Alabama",60953,62149
"01105","Perry County, Alabama",3912,4567
"01107","Pickens County, Alabama",9149,9776
"01109","Pike County, Alabama",15843,17154
"01111","Randolph County, Alabama",10787,11392
"01113","Russell County, Alabama",28125,30724
"01115","St. Clair County, Alabama",45680,46039
"01117","Shelby County, Alabama",109226,114690
"01119","Sumter County, Alabama",5586,6610
"01121","Talladega County, Alabama",39386,41719
"01123","Tallapoosa County, Alabama",20025,21226
"01125","Tuscaloosa County, Alabama",111807,119751
"01127","Walker County, Alabama",32122,32856
"01129","Washington County, Alabama",7664,7770
"01131","Wilcox County, Alabama",4892,5549
"01133","Winston County, Alabama",11764,11891
"02013","Aleutians East Borough, Alaska",2102,1305
"02016","Aleutians West Census Area, Alaska",3484,1735
"02020","Anchorage Municipality, Alaska",149144,141530
"02050","Bethel Census Area, Alaska",9909,8629
"02060","Bristol Bay Borough, Alaska",489,365
"02063","Chugach Census Area, Alaska",3717,3283
"02066","Copper River Census Area, Alaska",1388,1226
"02068","Denali Borough, Alaska",1417,684
"02070","Dillingham Census Area, Alaska",2492,2362
"02090","Fairbanks North Star Borough, Alaska",52279,44020
"02100","Haines Borough, Alaska",1079,1000
"02105","Hoonah-Angoon Census Area, Alaska",1300,1029
"02110","Juneau City and Borough, Alaska",16461,15647
"02122","Kenai Peninsula Borough, Alaska",31086,28149
"02130","Ketchikan Gateway Borough, Alaska",7232,6678
"02150","Kodiak Island Borough, Alaska",6991,6074
"02158","Kusilvak Census Area, Alaska",4576,3796
"02164","Lake and Peninsula Borough, Alaska",508,491
"02170","Matanuska-Susitna Borough, Alaska",56811,51850
"02180","Nome Census Area, Alaska",5237,4781
"02185","North Slope Borough, Alaska",6766,4158
"02188","Northwest Arctic Borough, Alaska",4105,3577
"02195","Petersburg Borough, Alaska",1655,1719
"02198","Prince of Wales-Hyder Census Area, Alaska",3223,2576
"02220","Sitka City and Borough, Alaska",4420,4042
"02230","Skagway Municipality, Alaska",537,766
"02240","Southeast Fairbanks Census Area, Alaska",3912,2976
"02275","Wrangell City and Borough, Alaska",1136,998
"02282","Yakutat City and Borough, Alaska",352,212
"02290","Yukon-Koyukuk Census Area, Alaska",2841,2514
"04001","Apache County, Arizona",32843,33211
"04003","Cochise County, Arizona",64221,61283
"04005","Coconino County, Arizona",71707,72998
"04007","Gila County, Arizona",26688,26731
"04009","Graham County, Arizona",20530,17923
"04011","Greenlee County, Arizona",5027,4456
"04012","La Paz County, Arizona",8617,8064
"04013","Maricopa County, Arizona",2208150,2222721
"04015","Mohave County, Arizona",108677,105552
"04017","Navajo County, Arizona",54016,53094
"04019","Pima County, Arizona",516095,526298
"04021","Pinal County, Arizona",226232,207106
"04023","Santa Cruz County, Arizona",23193,24645
"04025","Yavapai County, Arizona",117352,120478
"04027","Yuma County, Arizona",105162,99212
"05001","Arkansas County, Arkansas",8252,8772
"05003","Ashley County, Arkansas",8986,10032
"05005","Baxter County, Arkansas",20433,21368
"05007","Benton County, Arkansas",144085,142443
"05009","Boone County, Arkansas",18657,19005
"05011","Bradley County, Arkansas",5058,5403
"05013","Calhoun County, Arkansas",2420,2353
"05015","Carroll County, Arkansas",14305,14057
"05017","Chicot County, Arkansas",5150,5084
"05019","Clark County, Arkansas",10113,11356
"05021","Clay County, Arkansas",6958,7579
"05023","Cleburne County, Arkansas",12469,12479
"05025","Cleveland County, Arkansas",3494,4054
"05027","Columbia County, Arkansas",10991,11716
"05029","Conway County, Arkansas",10354,10428
"05031","Craighead County, Arkansas",54232,56806
"05033","Crawford County, Arkansas",29905,30688
"05035","Crittenden County, Arkansas",22739,25206
"05037","Cross County, Arkansas",8161,8666
"05039","Dallas County, Arkansas",3185,3287
"05041","Desha County, Arkansas",5452,5833
"05043","Drew County, Arkansas",8401,8908
"05045","Faulkner County, Arkansas",60844,63767
"05047","Franklin County, Arkansas",8427,8733
"05049","Fulton County, Arkansas",6091,6092
"05051","Garland County, Arkansas",48360,51661
"05053","Grant County, Arkansas",9080,8942
"05055","Greene County, Arkansas",22749,23205
"05057","Hempstead County, Arkansas",9734,10303
"05059","Hot Spring County, Arkansas",17621,15508
"05061","Howard County, Arkansas",6099,6680
"05063","Independence County, Arkansas",18947,18963
"05065","Izard County, Arkansas",7294,6454
"05067","Jackson County, Arkansas",8419,8365
"05069","Jefferson County, Arkansas",33541,33393
"05071","Johnson County, Arkansas",12974,12951
"05073","Lafayette County, Arkansas",3218,3059
"05075","Lawrence County, Arkansas",8130,8128
"05077","Lee County, Arkansas",4882,3784
"05079","Lincoln County, Arkansas",8335,4681
"05081","Little River County, Arkansas",5849,6175
"05083","Logan County, Arkansas",10501,10746
"05085","Lonoke County, Arkansas",36875,37417
"05087","Madison County, Arkansas",8474,8263
"05089","Marion County, Arkansas",8389,8516
"05091","Miller County, Arkansas",21257,21425
"05093","Mississippi County, Arkansas",19837,20524
"05095","Monroe County, Arkansas",3278,3509
"05097","Montgomery County, Arkansas",4380,4175
"05099","Nevada County, Arkansas",4058,4234
"05101","Newton County, Arkansas",3724,3519
"05103","Ouachita County, Arkansas",11039,11567
"05105","Perry County, Arkansas",5182,4873
"05107","Phillips County, Arkansas",7600,8773
"05109","Pike County, Arkansas",5013,5192
"05111","Poinsett County, Arkansas",11246,11751
"05113","Polk County, Arkansas",9508,9876
